               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.032868,          0.00059485,                   0,             0.92824,             0.89128,             0.94658,             0.58913,            0.029243,          0.00047177,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.032878,          0.00058978,                   0,             0.93379,             0.88782,             0.94675,             0.58916,            0.029224,          0.00047009,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.032908,          0.00058926,                   0,             0.93488,             0.88814,             0.94717,             0.58976,            0.029208,          0.00046861,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.032615,           0.0005795,                   0,             0.93389,             0.88924,             0.94782,             0.59014,            0.029192,          0.00046707,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.032393,          0.00058152,                   0,             0.92947,             0.89349,             0.94777,             0.59036,             0.02917,          0.00046546,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.032479,          0.00057317,                   0,             0.93184,              0.8927,             0.94852,             0.59078,            0.029154,          0.00046389,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.032136,          0.00057465,                   0,             0.93138,             0.89473,             0.94917,              0.5908,            0.029136,           0.0004624,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.032122,          0.00057278,                   0,             0.93127,             0.89537,             0.94972,             0.59137,            0.029118,            0.000461,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.032304,          0.00056882,                   0,             0.93129,             0.89569,             0.95003,             0.59166,            0.029107,          0.00045977,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.032053,          0.00056728,                   0,             0.93497,             0.89191,             0.94996,             0.59161,            0.029089,          0.00045855,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.031798,          0.00056191,                   0,             0.93442,             0.89333,              0.9501,             0.59181,            0.029072,          0.00045732,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.031587,            0.000557,                   0,             0.94103,             0.88872,             0.95078,             0.59189,            0.029054,          0.00045572,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.031532,          0.00055634,                   0,              0.9465,             0.88578,             0.95075,              0.5923,            0.029035,          0.00045406,                   0,            0.003565,            0.003565,            0.003565
                  67,             0.03169,          0.00055713,                   0,             0.94937,             0.88483,             0.95117,             0.59338,             0.02902,          0.00045275,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.031496,          0.00054382,                   0,             0.93454,             0.89994,             0.95194,             0.59381,               0.029,          0.00045138,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.031509,          0.00054661,                   0,             0.93716,             0.89868,             0.95244,               0.594,            0.028978,          0.00044992,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.031293,          0.00054374,                   0,             0.93638,             0.90009,             0.95305,             0.59499,            0.028961,          0.00044832,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.031163,          0.00054024,                   0,             0.92563,             0.91189,             0.95347,             0.59579,            0.028939,          0.00044674,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.030994,          0.00053803,                   0,             0.93817,             0.90167,             0.95376,             0.59555,             0.02892,          0.00044523,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.030708,           0.0005307,                   0,             0.94004,              0.9012,             0.95446,             0.59581,            0.028901,          0.00044342,                   0,            0.002872,            0.002872,            0.002872
                  74,             0.03076,          0.00053185,                   0,             0.94063,              0.9024,             0.95483,             0.59622,            0.028883,          0.00044183,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.030626,          0.00053066,                   0,             0.94278,             0.90209,             0.95511,             0.59677,            0.028862,          0.00044019,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.030703,          0.00053017,                   0,             0.93116,             0.91504,             0.95559,             0.59678,            0.028846,           0.0004388,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.030413,          0.00051767,                   0,             0.95077,             0.89899,             0.95588,             0.59787,            0.028825,          0.00043739,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.030383,          0.00051877,                   0,             0.93501,             0.91567,             0.95632,             0.59768,            0.028805,          0.00043574,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.030256,           0.0005084,                   0,             0.94466,              0.9078,             0.95655,             0.59768,            0.028787,          0.00043401,                   0,            0.002278,            0.002278,            0.002278
                  80,             0.03005,          0.00051034,                   0,             0.93795,             0.91556,             0.95647,             0.59809,            0.028766,          0.00043249,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.030055,          0.00051059,                   0,             0.94027,             0.91393,              0.9566,             0.59765,            0.028752,          0.00043101,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.029888,          0.00049992,                   0,             0.95447,             0.90364,             0.95714,             0.59778,            0.028733,          0.00042948,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.029648,          0.00050226,                   0,             0.95648,             0.90261,             0.95725,              0.5982,            0.028715,          0.00042808,                   0,            0.001882,            0.001882,            0.001882
                  84,             0.02969,              0.0005,                   0,             0.95006,             0.90996,             0.95747,             0.59872,            0.028694,           0.0004265,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.029581,          0.00049502,                   0,             0.95182,             0.91079,             0.95806,             0.59958,            0.028676,          0.00042483,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.029422,          0.00049775,                   0,             0.95208,             0.91174,             0.95825,             0.60024,            0.028648,          0.00042312,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.029283,          0.00049229,                   0,             0.95328,             0.91163,             0.95883,             0.60062,            0.028627,          0.00042169,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.029088,          0.00048686,                   0,              0.9531,             0.91221,             0.95905,             0.60177,            0.028602,          0.00042001,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.029129,          0.00048235,                   0,             0.95729,             0.90984,             0.95962,             0.60186,            0.028579,          0.00041835,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.028879,          0.00048374,                   0,              0.9595,             0.90843,             0.96008,             0.60266,            0.028562,          0.00041685,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.028646,          0.00047962,                   0,             0.95195,             0.91649,             0.96024,             0.60301,            0.028537,          0.00041535,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.028587,          0.00047277,                   0,             0.95456,             0.91542,             0.96076,             0.60372,            0.028505,          0.00041381,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.028251,          0.00046937,                   0,             0.95611,             0.91503,             0.96105,             0.60373,            0.028473,          0.00041196,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.028392,          0.00046642,                   0,             0.95583,             0.91594,             0.96141,             0.60453,            0.028453,          0.00041029,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.027996,          0.00046277,                   0,             0.95575,             0.91614,             0.96143,             0.60497,            0.028428,          0.00040871,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.027855,          0.00046177,                   0,             0.94819,             0.92427,             0.96205,             0.60539,            0.028404,          0.00040707,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.027881,          0.00046162,                   0,             0.94679,             0.92661,             0.96205,             0.60602,             0.02839,          0.00040555,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.027832,          0.00045609,                   0,              0.9489,             0.92619,             0.96259,             0.60656,            0.028372,          0.00040394,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.027554,          0.00045321,                   0,             0.95045,              0.9265,             0.96303,             0.60666,            0.028354,           0.0004023,                   0,            0.000298,            0.000298,            0.000298
